FECHA,CLAVE_EST,PARAMETRO,INVALIDA,HORA01,HORA02,HORA03,HORA04,HORA05,HORA06,HORA07,HORA08,HORA09,HORA10,HORA11,HORA12,HORA13,HORA14,HORA15,HORA16,HORA17,HORA18,HORA19,HORA20,HORA21,HORA22,HORA23,HORA24
01/01/11,AGU,CO,,2.8,3.3,5.0,5.7,4.5,3.1,3.3,3.0,2.6,2.2,2.4,1.9,1.8,1.8,1.0,0.6,0.6,0.6,0.8,2.2,1.7,2.1,2.9,2.2
01/01/11,AGU,NO,,0.067,0.080,0.243,0.298,0.192,0.065,0.098,0.060,0.053,0.030,0.031,0.016,0.008,0.007,0.005,0.003,0.002,0.002,0.002,0.048,0.006,0.062,0.105,0.030
01/01/11,AGU,NO2,,0.046,0.046,0.036,0.036,0.038,0.041,0.035,0.036,0.036,0.039,0.055,0.039,0.035,0.034,0.015,0.007,0.005,0.008,0.023,0.050,0.044,0.040,0.047,0.048
01/01/11,AGU,NOX,,0.108,0.120,0.256,0.306,0.214,0.101,0.126,0.093,0.086,0.069,0.084,0.057,0.046,0.043,0.025,0.015,0.013,0.015,0.028,0.095,0.052,0.098,0.143,0.077
01/01/11,AGU,O3,,0.007,0.007,0.007,0.007,0.006,0.005,0.004,0.004,0.007,0.022,0.039,0.064,0.093,0.118,0.074,0.053,0.052,0.052,0.049,0.013,0.016,0.019,0.005,0.004
01/01/11,AGU,PM10,,45.8,58.7,64.0,75.2,62.2,45.9,40.8,36.0,30.9,22.3,29.8,23.0,31.9,20.0,7.7,7.1,7.3,5.1,19.5,38.9,27.8,18.4,30.5,24.4
01/01/11,AGU,SO2,,0.003,0.003,0.007,0.008,0.006,0.002,0.002,0.002,0.002,0.003,0.006,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.004,0.001
01/01/11,ATM,CO,,"0,1",0.4,0.7,0.2,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
01/01/11,ATM,NO,,0.172,0.233,0.243,0.210,0.145,0.125,0.128,0.147,0.096,0.063,0.012,0.006,0.003,0.002,0.003,0.004,0.004,0.006,0.005,0.070,0.079,0.066,0.093,0.070
01/01/11,ATM,NO2,,0.041,0.042,0.041,0.038,0.036,0.035,0.032,0.032,0.042,0.076,0.042,0.017,0.017,0.020,0.027,0.017,0.013,0.018,0.031,0.045,0.046,0.044,0.041,0.038
01/01/11,ATM,NOX,,0.213,0.275,0.284,0.249,0.182,0.160,0.161,0.180,0.139,0.140,0.055,0.024,0.020,0.023,0.031,0.022,0.018,0.025,0.037,0.116,0.126,0.111,0.134,0.109
01/01/11,ATM,O3,,0.003,0.003,0.004,0.004,0.003,0.003,0.003,0.003,0.002,0.006,0.036,0.049,0.071,0.096,0.111,0.065,0.048,0.037,0.027,0.003,0.001,0.001,0.000,0.000
01/01/11,ATM,PM10,,66.1,61.1,59.7,52.0,40.7,51.1,46.5,51.4,41.1,47.3,33.3,6.3,3.0,4.5,9.8,8.6,6.5,8.2,21.4,25.4,31.8,19.1,17.4,13.3
01/01/11,ATM,SO2,,0.013,0.011,0.009,0.010,0.011,0.012,0.011,0.008,0.006,0.005,0.003,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.003,0.003,0.003,0.005,0.005
01/01/11,CEN,CO,,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.,I.F.
