FECHA,CLAVE_EST,PARAMETRO,PROMEDIO
07/03/1996,LDO,CO,1.5083
07/03/1996,MIR,CO,0.9792
07/03/1996,OBL,CO,1.9417
07/03/1996,TLA,CO,2.0542
07/03/1996,VAL,CO,2.4875
08/03/1996,AGU,CO,0.6917
08/03/1996,ATM,CO,0.6167
08/03/1996,CEN,CO,0.7
08/03/1996,LDO,CO,0.8917
08/03/1996,MIR,CO,0.2875
08/03/1996,OBL,CO,0.6458
08/03/1996,TLA,CO,1.225
08/03/1996,VAL,CO,1.2
09/03/1996,AGU,CO,1.4583
09/03/1996,ATM,CO,1.5792
09/03/1996,CEN,CO,1.5583
09/03/1996,LDO,CO,1.4
09/03/1996,MIR,CO,1.2333
09/03/1996,OBL,CO,1.6417
09/03/1996,TLA,CO,1.8542
09/03/1996,VAL,CO,2.4333
10/03/1996,AGU,CO,1.0708
10/03/1996,ATM,CO,1.3042
10/03/1996,CEN,CO,1.15
10/03/1996,LDO,CO,1.1875
10/03/1996,MIR,CO,1.0167
10/03/1996,OBL,CO,1.3542
10/03/1996,TLA,CO,1.6375
10/03/1996,VAL,CO,1.9542
11/03/1996,AGU,CO,1.6375
11/03/1996,ATM,CO,1.8125
11/03/1996,CEN,CO,2.0708
11/03/1996,LDO,CO,1.6083
11/03/1996,MIR,CO,1.7708
11/03/1996,OBL,CO,1.2583
11/03/1996,TLA,CO,2.8125
11/03/1996,VAL,CO,2.5833
12/03/1996,AGU,CO,1.1667
12/03/1996,ATM,CO,1.025
12/03/1996,CEN,CO,1.2083
12/03/1996,LDO,CO,1.0167
12/03/1996,MIR,CO,0.7625
12/03/1996,OBL,CO,0.7792
12/03/1996,TLA,CO,1.6
12/03/1996,VAL,CO,1.3167
13/03/1996,AGU,CO,1.2125
13/03/1996,ATM,CO,1.3125
13/03/1996,CEN,CO,1.525
13/03/1996,LDO,CO,1.375
13/03/1996,MIR,CO,0.8875
13/03/1996,OBL,CO,1.1292
13/03/1996,TLA,CO,1.9375
13/03/1996,VAL,CO,1.4
14/03/1996,AGU,CO,1.1042
14/03/1996,ATM,CO,1.725
14/03/1996,CEN,CO,1.7625
14/03/1996,LDO,CO,1.6333
14/03/1996,MIR,CO,1.0333
14/03/1996,OBL,CO,1.1042
14/03/1996,TLA,CO,1.7792
14/03/1996,VAL,CO,2.1708
15/03/1996,AGU,CO,1.4458
15/03/1996,ATM,CO,1.6625
15/03/1996,CEN,CO,2.1333
15/03/1996,LDO,CO,1.8083
15/03/1996,MIR,CO,1.1708
15/03/1996,OBL,CO,1.3458
15/03/1996,TLA,CO,2.3917
15/03/1996,VAL,CO,2.2542
16/03/1996,AGU,CO,1.0208
16/03/1996,ATM,CO,1.4458
16/03/1996,CEN,CO,1.6
16/03/1996,LDO,CO,1.2
16/03/1996,MIR,CO,0.9333
16/03/1996,OBL,CO,1.2917
16/03/1996,TLA,CO,1.9125
16/03/1996,VAL,CO,1.5167
17/03/1996,AGU,CO,0.225
17/03/1996,ATM,CO,0.9792
17/03/1996,CEN,CO,0
17/03/1996,LDO,CO,1.3583
17/03/1996,MIR,CO,0.6625
17/03/1996,OBL,CO,0.8292
17/03/1996,TLA,CO,1.2958
17/03/1996,VAL,CO,0.9292
18/03/1996,AGU,CO,1.6375
18/03/1996,ATM,CO,1.8833
18/03/1996,CEN,CO,1.5083
18/03/1996,LDO,CO,1.55
18/03/1996,MIR,CO,1.325
18/03/1996,OBL,CO,1.7917
18/03/1996,TLA,CO,1.3667
18/03/1996,VAL,CO,2.4083
19/03/1996,AGU,CO,1.7
19/03/1996,ATM,CO,1.4833
19/03/1996,CEN,CO,1.3667
19/03/1996,LDO,CO,1.5917
19/03/1996,MIR,CO,0.9042
19/03/1996,OBL,CO,1.0417
19/03/1996,TLA,CO,1.5333
19/03/1996,VAL,CO,1.9042
20/03/1996,AGU,CO,1.1708
20/03/1996,ATM,CO,1.2875
20/03/1996,CEN,CO,1.0583
20/03/1996,LDO,CO,1.3375
20/03/1996,MIR,CO,0.8875
20/03/1996,OBL,CO,0.9875
20/03/1996,TLA,CO,1.5208
20/03/1996,VAL,CO,1.5167
21/03/1996,AGU,CO,0.4333
21/03/1996,ATM,CO,0.9125
21/03/1996,CEN,CO,0.85
21/03/1996,LDO,CO,0.9542
21/03/1996,MIR,CO,0.3917
21/03/1996,OBL,CO,0.7333
21/03/1996,TLA,CO,0.8542
21/03/1996,VAL,CO,1.7042
22/03/1996,AGU,CO,0.525
22/03/1996,ATM,CO,1.2167
22/03/1996,CEN,CO,1.4333
22/03/1996,LDO,CO,1.0208
22/03/1996,MIR,CO,0.4375
22/03/1996,OBL,CO,0.9292
22/03/1996,TLA,CO,1.225
22/03/1996,VAL,CO,1.4875
23/03/1996,AGU,CO,0.6542
23/03/1996,ATM,CO,1.1708
23/03/1996,CEN,CO,1.2625
23/03/1996,LDO,CO,1.0417
23/03/1996,MIR,CO,0.1375
23/03/1996,OBL,CO,0.9833
23/03/1996,TLA,CO,0.9542
23/03/1996,VAL,CO,1.0792
24/03/1996,AGU,CO,0.6042
24/03/1996,ATM,CO,0.6042
24/03/1996,CEN,CO,0.2583
24/03/1996,LDO,CO,1.1792
24/03/1996,MIR,CO,0.5875
24/03/1996,OBL,CO,0.4667
24/03/1996,TLA,CO,1.2208
24/03/1996,VAL,CO,0.6208
25/03/1996,AGU,CO,0.9292
25/03/1996,ATM,CO,1.225
25/03/1996,CEN,CO,0.5792
25/03/1996,LDO,CO,1.2292
25/03/1996,MIR,CO,0.475
25/03/1996,OBL,CO,0.7583
25/03/1996,TLA,CO,0.8458
25/03/1996,VAL,CO,1.7292
26/03/1996,AGU,CO,1.0583
26/03/1996,ATM,CO,1.1542
26/03/1996,CEN,CO,1.4292
26/03/1996,LDO,CO,0.9833
26/03/1996,MIR,CO,0.475
26/03/1996,OBL,CO,0.9833
26/03/1996,TLA,CO,0.4
26/03/1996,VAL,CO,1.6292
27/03/1996,AGU,CO,0.8542
27/03/1996,ATM,CO,1.3083
27/03/1996,CEN,CO,1.3792
27/03/1996,LDO,CO,0.8708
27/03/1996,MIR,CO,0.1667
27/03/1996,OBL,CO,0.7958
27/03/1996,TLA,CO,0.1625
27/03/1996,VAL,CO,1.575
28/03/1996,AGU,CO,1.0958
28/03/1996,ATM,CO,0.6667
28/03/1996,CEN,CO,0.7958
28/03/1996,LDO,CO,0.4917
28/03/1996,MIR,CO,0.3542
28/03/1996,OBL,CO,0.4875
28/03/1996,TLA,CO,0.175
28/03/1996,VAL,CO,0.9542
29/03/1996,AGU,CO,1.125
29/03/1996,ATM,CO,1.4792
29/03/1996,CEN,CO,2.5708
29/03/1996,LDO,CO,1.6833
29/03/1996,MIR,CO,0.6458
29/03/1996,OBL,CO,1.275
29/03/1996,TLA,CO,1.1708
29/03/1996,VAL,CO,2.15
30/03/1996,AGU,CO,0.7958
30/03/1996,ATM,CO,1.2667
30/03/1996,CEN,CO,1.5625
30/03/1996,LDO,CO,1.3292
30/03/1996,MIR,CO,1.1417
30/03/1996,OBL,CO,0.9042
30/03/1996,TLA,CO,0.8625
30/03/1996,VAL,CO,1.5583
31/03/1996,AGU,CO,0.3792
31/03/1996,ATM,CO,1.375
31/03/1996,CEN,CO,1.3667
31/03/1996,LDO,CO,1.0625
31/03/1996,MIR,CO,0.9542
31/03/1996,OBL,CO,1.0083
31/03/1996,TLA,CO,1.3833
31/03/1996,VAL,CO,1.1583
01/04/1996,AGU,CO,0.9083
01/04/1996,ATM,CO,1.2625
01/04/1996,CEN,CO,1.2833
01/04/1996,LDO,CO,0.9792
01/04/1996,MIR,CO,0.6833
01/04/1996,OBL,CO,0.9625
01/04/1996,TLA,CO,0.025
01/04/1996,VAL,CO,1.7917
02/04/1996,AGU,CO,0.6417
02/04/1996,ATM,CO,0.9625
02/04/1996,CEN,CO,1.1333
